image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall,model
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,"**Dormitori 1.**

On the **PLANTA BAIXA**, the door of **Dormitori 1** opens directly to the corridor very close to the **TRASTER** room, while **Dormitori 2** connects through the lower hallway near Bany 2, requiring a longer path to reach the TRASTER. Therefore, **Dormitori 1 has the shorter travelling distance.**",1.0,1.0,OpenAI GPT-5.3
2000-0002,ocr1,read_floor_area,ocr_qa,What is the listed total square footage of the 1st floor?,914 SQUARE FEET,914 square feet.,1.0,1.0,OpenAI GPT-5.3
2000-0002,ocr2,read_safety_note,ocr_qa,What does the safety note say about smoke detectors near the hallway?,All smoke detectors linked w/ battery backup.,The safety note says: **“All smoke/CO detectors linked w/ battery backup.”**,1.0,1.0,OpenAI GPT-5.3
2000-0002,sp1,kitchen_appliances,spatial_qa,Which major appliances are located directly adjacent to the kitchen sink?,Dishwasher and the refrigerator.,"The kitchen sink is directly adjacent to:
- Dishwasher (DW) on one side  
- Refrigerator with ice maker (ICE MKR / REF) next to the dishwasher.",1.0,1.0,OpenAI GPT-5.3
2000-0002,sp2,adjacency,spatial_qa,Which room is directly adjacent to the Pantry?,The Kitchen,Kitchen.,1.0,1.0,OpenAI GPT-5.3
2000-0002,sp3,adjacency,spatial_qa,"Which room is positioned directly beside the Stair, sharing the longest adjoining wall?",Bedroom 1,Living Room.,0.0,0.0,OpenAI GPT-5.3
2000-0002,cnt1,count_window,counting_qa,How many windows does the bedroom have?,One (1) window.,1 window.,1.0,1.0,OpenAI GPT-5.3
2000-0002,cmp1,largest_room,comparison_qa,Which room in the plan has the largest area?,Living Room,The **Living Room** has the largest area in the plan.,1.0,1.0,OpenAI GPT-5.3
3000-0001,ocr1,read_room_label,ocr_qa,What is the name of the main bedroom shown in the plan?,MAIN BEDROOM,MAIN BEDROOM,1.0,1.0,OpenAI GPT-5.3
3000-0001,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the living room?,"HARDWOOD FLOOR, TYP.","HARDWOOD FLOOR, TYP.",1.0,1.0,OpenAI GPT-5.3
3000-0001,sp1,item_location,spatial_qa,Where are the woodstoves located?,Living Room (& Guest Room),"In the **living room (labeled “Living Room & Guest Room”)**, on a **30"" × 68"" stone or tile flooring area** located **against the wall shared with the kitchen** (marked “WOODSTOVE – optional”).",1.0,1.0,OpenAI GPT-5.3
3000-0001,sp2,adjacency,spatial_qa,Which room is directly connected to the MAIN BEDROOM?,the Hall,"The **MAIN BEDROOM** has a door that opens directly into a small **closet** space (a walk‑in closet).  
From that closet, there is then access to the **BATH**.

**Answer:** Closet.",0.0,0.0,OpenAI GPT-5.3
3000-0001,sp3,closest_to_staircase,spatial_qa,Which space gives the access to the STAIRS from the main bedroom?,the Kitchen,"**Hall.**  

The main bedroom door opens into the **HALL**, and from the hall you can proceed to the stair area.",0.0,0.0,OpenAI GPT-5.3
3000-0001,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Two (2) windows,2 windows.,1.0,1.0,OpenAI GPT-5.3
3000-0001,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living Room (& Guest Room),The **Living Room (& Guest Room)** has the largest area.,1.0,1.0,OpenAI GPT-5.3
3000-0001,cmp2,bigger_room,comparison_qa,"Which one is bigger? the COATS room behind the entrance, or the UTILITY CLOSET room?",The Utility closet,"The **UTILITY CLOSET** is bigger.

Approximate sizes from the plan:
- **Utility Closet:** about **3'-1"" × 3'-1""** (~9.6 sq ft)
- **Coats closet (behind entrance):** about **2'-2"" × 2'-4""** (~5 sq ft)

So, the **UTILITY CLOSET is larger.**",1.0,1.0,OpenAI GPT-5.3
3000-0002,ocr1,read_slope,ocr_qa,What is the roof slope indicated at the back addition?,2.5/12,"The drawing labels the **Back Addition Lean-To Roof** with **“SLOPE: 2.5/12.”**

**Answer:** 2.5/12.",1.0,1.0,OpenAI GPT-5.3
3000-0002,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the main bedroom?,"HARDWOOD FLOOR, TYP.","HARDWOOD FLOOR, TYP.",1.0,1.0,OpenAI GPT-5.3
3000-0002,sp1,adjacency,spatial_qa,Which bedroom is adjacent to the Bath?,Main Bedroom,The **Main Bedroom** is adjacent to the Bath.,1.0,1.0,OpenAI GPT-5.3
3000-0002,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Three (3) windows,2 windows.,0.0,0.0,OpenAI GPT-5.3
3000-0002,cmp1,closest_to_bath,comparison_qa,Which room is closest to the Bath?,Main Bedroom,Hall.,0.0,0.0,OpenAI GPT-5.3
3000-0002,cmp2,largest_room,comparison_qa,Which room has the largest area?,Main Bedroom,**Main Bedroom**.,1.0,1.0,OpenAI GPT-5.3
3000-0002,cmp3,closest_to_staircase,comparison_qa,Which room has the closest access to the STAIRS through the hall?,The bedroom,The **Bedroom** (the smaller bedroom on the right) has the closest access to the **stairs** through the hall.,1.0,1.0,OpenAI GPT-5.3
3000-0002,cmp4,access_to_roof,comparison_qa,Which room has a window view access to the back addition lean-to-roof? the bath or the bedroom?,The bath,"The **bath**.

In the drawing, the **bathroom’s exterior wall** (top-left) faces the area labeled **“BACK ADDITION LEAN-TO ROOF”** and includes a **window symbol** on that wall. The bedrooms’ windows are on the **opposite side facing the porch roof**, not the lean-to roof.",1.0,1.0,OpenAI GPT-5.3
3000-0003,ocr1,read_room_label,ocr_qa,What is the name of the large room on the lower half of the plan?,LIVING / DINING ROOM,LIVING / DINING ROOM,1.0,1.0,OpenAI GPT-5.3
3000-0003,ocr2,read_door_lable,ocr_qa,What is the name of the door that connects the Kitchen and the MUDROOM?,B,B (Door Type B).,1.0,1.0,OpenAI GPT-5.3
3000-0003,sp1,kitchen_feature,spatial_qa,What major appliance is positioned directly across from the kitchen sink?,The refrigerator (REF).,The **refrigerator (REF)** is positioned directly across from the kitchen sink.,1.0,1.0,OpenAI GPT-5.3
3000-0003,sp2,adjacency,spatial_qa,Which room is directly connected to the KITCHEN with 32x80 cased opening?,The LIVING/DINING ROOM,LIVING / DINING ROOM.,1.0,1.0,OpenAI GPT-5.3
3000-0003,sp3,access_to_outside,spatial_qa,Which room has direct access to the SCREEN PORCH?,Main Bedroom,**Main Bedroom.**,1.0,1.0,OpenAI GPT-5.3
3000-0003,cnt1,count_windows,counting_qa,How many windows are available for the living/dinning space?,Four (4),4 windows.,1.0,1.0,OpenAI GPT-5.3
3000-0003,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living / Dining Room,The **Living / Dining Room** has the largest area.,1.0,1.0,OpenAI GPT-5.3
3000-0003,cmp2,close_access,comparison_qa,Which room is closely accessible from the living/dinning room? the Screen porch or the mudroom?,The mudroom,"The **mudroom**.

The living/dining room connects directly to the **kitchen**, and the **mudroom is directly off the kitchen**, making it closely accessible. The **screen porch** is accessed through the bedroom/bath area, not directly from the living/dining room.",1.0,1.0,OpenAI GPT-5.3
3000-0004,ocr1,read_slope,ocr_qa,What is the slope indicated for the lower shed roof?,2.0/12,2/12 slope.,1.0,1.0,OpenAI GPT-5.3
3000-0004,ocr2,read_area_text,ocr_qa,What flooring type is specified for the front bedrooms?,"HARDWOOD FLOOR, TYP.","Hardwood floor (noted as “HARDWOOD FLOOR, TYP.”).",1.0,1.0,OpenAI GPT-5.3
3000-0004,sp1,window_shed_roof,spatial_qa,Which room has window facing the shed roof?,REAR BEDROOM,The **bathroom (BATH)** has a window facing the **lower shed roof**.,0.0,0.0,OpenAI GPT-5.3
3000-0004,sp2,no_built_in_closet,spatial_qa,Which bedroom has no built-in closet?,REAR BEDROOM,The **Rear Bedroom** has **no built‑in closet**.,1.0,1.0,OpenAI GPT-5.3
3000-0004,cnt1,count_window,counting_qa,How many windows does the BATH have?,One (1) window,1 window.,1.0,1.0,OpenAI GPT-5.3
3000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom has the largest area?,Bedroom on the bottom/lower left corner,"The **Rear Bedroom** has the largest area (approximately **10' × 10' ≈ 100 sq ft**), which is larger than the two front bedrooms.",0.0,0.0,OpenAI GPT-5.3
3000-0004,cmp2,more_windows,comparison_qa,Which bedroom has more windows?,Bedroom on the bottom/lower left corner.,"The **bottom-left bedroom** has more windows.

- Bottom-left bedroom: **2 windows** (along the bottom wall).  
- Bottom-right bedroom: **1 window**.  
- Rear bedroom: **1 window**.

**Answer:** Bottom-left bedroom.",1.0,1.0,OpenAI GPT-5.3
3000-0004,cmp3,fewer_windows,comparison_qa,Which bedroom has fewer windows?,Bedroom on the bottom/lower right corner.,"The **rear bedroom** has fewer windows.

From the plan:
- **Rear Bedroom:** 1 window (on the right wall).
- **Front/Lower Bedrooms:** each has **2 windows** along the exterior wall.

**Answer:** Rear bedroom.",1.0,1.0,OpenAI GPT-5.3
3000-0005,ocr1,read_room_label,ocr_qa,What is the name of the room adjacent to the KITCHEN on the right?,MUDROOM,MUDROOM,1.0,1.0,OpenAI GPT-5.3
3000-0005,ocr2,read_material_label,ocr_qa,What is the minimum clearance specified between the coats room to the stairs?,Minimum of 3',"3'-0"" minimum clearance.",1.0,1.0,OpenAI GPT-5.3
3000-0005,sp1,room_identification,spatial_qa,What is the name of the room located next to the DINING area on the right?,KITCHEN,KITCHEN.,1.0,1.0,OpenAI GPT-5.3
3000-0005,sp2,access_to_stairs,spatial_qa,Which room gives direct access to the stairs to the upper level?,LIVING ROOM,The **Living Room** gives direct access to the stairs to the upper level.,1.0,1.0,OpenAI GPT-5.3
3000-0005,sp3,access_to_outside,spatial_qa,Which room provides direct access to the 3'x4' back stoop?,Mudroom,The **Mudroom** provides direct access to the **3' × 4' back stoop**.,1.0,1.0,OpenAI GPT-5.3
3000-0005,cnt1,count_toilet,counting_qa,How many toilets (W.C) does the floor plan have?,One (1) toilet/W.C,1,1.0,1.0,OpenAI GPT-5.3
3000-0005,cmp1,largest_space,comparison_qa,Which space has the largest area?,Living Room,Living Room.,1.0,1.0,OpenAI GPT-5.3
3000-0005,cmp2,larger_space,comparison_qa,Which room has more space? the WC or the MUDROOM?,The MUDROOM,"The **MUDROOM** has more space than the **WC**.

From the plan:
- **MUDROOM** is about **5'-6"" deep** with a wider irregular footprint.
- **WC** is only about **3'-0"" deep** and noticeably narrower.

Therefore, **MUDROOM is larger.**",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr1,consulting_firms,ocr_qa,What are the consulting firms listed in the title block?,"6 consulting firms: Foster + Partners, Arup, OLIN, KIER & WRIGHT, alta and WATRY DESIGN, INC.","Foster + Partners; ARUP; OLIN; Kier & Wright; Alta Planning + Design (alta); Watry Design, Inc.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr2,read_titleblock_client,ocr_qa,What is the client of the project written on the title block?,Apple Inc.,Apple Inc.,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr3,read_project_name,ocr_qa,What is the project name written on the title block?,Apple Campus 2,Apple Campus 2,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr4,scale_reading,ocr_qa,What scale is listed in the title block for this plan?,"1"" = 64'","The title block lists the scale as **1"" = 60'**.",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr5,internal_radius,ocr_qa,What is the internal radius of the circular building?,"580'-11""",523 ft (≈159.4 m).,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr6,external_radius,ocr_qa,What is the external (outer) radius of the circular building?,"760'-7""","The plan is for the Apple Park main circular building. The commonly dimensioned **outer diameter is 1,512 ft (≈461 m)**.

Outer radius = 1,512 ft ÷ 2 = **756 ft (≈230.5 m)**.",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr7,restaurant_space,ocr_qa,What is the size of Restaurant space in square feet?,"58,000 square feet","8,500 square feet.",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,ocr8,right_side_road,ocr_qa,What is the name of the road labeled to the right side of the plan?,TANTAU AVENUE,Tantau Avenue.,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,sp1,adjacency,spatial_qa,"Which side of the ring (north, south, east, or west), on the drawing, has the Apple transit center Bus drop off area?",East,East side.,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,cnt1,count_access_cores,counting_qa,How many labeled access blocks are distributed around the building ring?,Nine (9),8 labeled access blocks are distributed around the building ring.,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,cnt2,count_radial_paths,counting_qa,How many radial pedestrian paths originate from the courtyard center and extend outward?,Nine (9),6,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-01,cmp1,more_core_access_quadrant,comparison_qa,Which quadrant of the circular building is closer to the Tantau Auditorium and Visitor Parking Structure?,Quadrant 4 or the bottom right corner.,"The **southeast quadrant** of the circular building is closest to the **Tantau Auditorium and Visitor Parking Structure**, which is shown on the **lower-right (east/southeast) side along Tantau Avenue**.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,ocr1,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1"" = 64'","**1"" = 100'** (one inch equals 100 feet).",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-8.02,P-8.02,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,ocr3,issued_date,ocr_qa,When was the issued date for the 'Planned development permit' revision?,08/09/11,"June 17, 2011.",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,sp1,orientation,spatial_qa,Are the access blocks positioned symmetrically across opposite sides of the ring?,"No, not symmetrically.","Yes. The access blocks are arranged in evenly spaced pairs around the ring, with each block having a corresponding block directly opposite it, indicating symmetric placement across the circle.",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,sp2,general_notes_location,spatial_qa,Where is the General notes section located in the drawing?,The top right corner of the drawing.,"The **General Notes** section is located in the **upper-right corner of the drawing**, within the **right-side vertical title/notes column**.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,cnt1,count_access_cores,counting_qa,How many labeled access blocks are distributed around the building ring on this sheet?,Nine (9),8 labeled access blocks are distributed around the building ring on the sheet.,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,cnt2,count_radial_dividers,counting_qa,How many radial division lines extend from the center to the ring?,Eight (8),8,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,cnt3,count_section_callouts,counting_qa,How many section view callouts are present in the drawing?,Three (3),There are **4 section view callouts** visible in the drawing (circular markers with triangular pointers placed around the ring).,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Five (5) consultants.,5,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-02,cmp1,more_core_access_quadrant,comparison_qa,Which quadrant of the circular building has more core access?,Quadrant 1 or the top right corner.,None. The core access points are evenly distributed—each quadrant has the same number (two) of core access locations.,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,ocr1,sheet_title,ocr_qa,What is the sheet title printed in the title block?,Main Building Basement Level 1 Stall Size Plan,Main Building Basement Level 1 – Stall Size Plan,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-8.09,P-8.09,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,ocr3,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1"" = 64'","**1"" = 50'-0""**",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,sp1,legend_location,spatial_qa,Where on the sheet is the legend describing the parking space types located?,In the upper-left portion of the drawing area.,"Upper-left area of the sheet, next to the “Basement Level 01: 1,140 Parking spaces” heading.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,sp2,titleblock_location,spatial_qa,Where is the main title block located on the sheet?,Along the right edge near the lower-right corner.,"The main title block is located on the **right side of the sheet in a vertical strip, specifically at the bottom-right corner**.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,cnt1,total_parking_spaces,counting_qa,How many total parking spaces are provided on Basement Level 01 according to the legend?,"1,140 parking spaces","**1,140 parking spaces.**",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,cnt2,standard_parking_count,counting_qa,How many Standard parking spaces are indicated in the legend?,394 Standard parking spaces,394 Standard parking spaces.,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,cnt3,charging_and_accessible_counts,counting_qa,How many Accessible parking spaces and Electrical charging stations are indicated in the legend?,21 Accessible parking spaces and 270 Electrical charging stations,"- Accessible parking spaces: **21**  
- Electrical charging stations: **270**",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Four (4) consultants.,"4 consulting firms are listed on the floor plan:

- Foster + Partners  
- ARUP  
- OLIN  
- Kier & Wright",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,cmp1,no_internal_ramp_quadrant,comparison_qa,Which quadrant has no internal ramps?,The 3rd quadrant or the bottom left quadrant.,The **southwest quadrant** has **no internal ramps**.,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-07,cmp2,more_internal_ramp_quadrant,comparison_qa,Which quadrant has more internal ramps?,The 1st quadrant or the top right quadrant.,The **southeast quadrant (bottom‑right)** has the most internal ramps.,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,ocr1,sheet_title,ocr_qa,What is the sheet title printed in the title block?,Proposed Main Building Section Typical Entrance,**Proposed Main Building Section – Typical Entrance**,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,ocr2,sheet_number,ocr_qa,What sheet number is shown for this drawing?,P-10.00,P-10.00,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,ocr3,scale_reading,ocr_qa,What is the drawing scale indicated in the title block?,"1/8"" = 1'","1/8"" = 1'-0""",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,ocr4,project_number,ocr_qa,What is the project number written in the title block?,1858,1858,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,ocr5,top_elevation,ocr_qa,What is the elevation of the top of the penthouse?,"El. +237'-4""","The drawing label at the top-right elevation markers reads:

Top of Penthouse — **EL. +237′‑4″**

**Answer:** +237′‑4″.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,sp1,mechanical_space_location,spatial_qa,Where are the Mechanical Spaces located relative to the central elevator shaft?,"They are located directly to the left and right of the elevator shaft, near the roof.","The Mechanical Spaces are located **on both sides of the central elevator shaft**, directly **to the left and right of it at the upper/roof level**, beneath the sloped roof sections.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,sp2,section_view_symmetry,spatial_qa,Is the section view a complete symmetrical view along the elevator shaft?,"No, it is not a complete symmetrical view along the elevator shaft.","Yes. The section is drawn as a complete symmetrical view along the elevator shaft, with the building elements (floors, lobbies, stairs, and roof profile) mirrored on both sides of the shaft centerline.",0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,cnt1,identify_vertical_elements,counting_qa,How many vertical circulation elements are shown in the section?,Two stairwells and one central elevator shaft.,"3

The section shows:
- 1 central elevator shaft  
- 2 stairwells (one on each side)

Total vertical circulation elements: **3**.",1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,cnt2,count_lobby_levels,counting_qa,How many lobby levels are visible in the section?,Six (6) lobby levels.,7 lobby levels are visible in the section.,0.0,0.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,cnt3,parking_levels,counting_qa,How many parking levels are visible below grade?,Two (2) parking levels.,2 parking levels are visible below grade.,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,cnt4,count_consultants,counting_qa,How many consulting firms are included on this floor plan?,Five (5) consultants.,5,1.0,1.0,OpenAI GPT-5.3
Apple-headquarter-plan-15-page-13,cmp1,more_stairwell,comparison_qa,Which side of the elevator shaft has more stairwell? Left or right?,The right side,Right.,1.0,1.0,OpenAI GPT-5.3
House-Floor-Plans-12-page-1,ocr1,sheet_number,ocr_qa,What is the sheet number shown on the bottom-right title block?,A101,A101,1.0,1.0,OpenAI GPT-5.3
